name,since,link,country,message
筒香,2020,,Malaysia,"こんかなた、いつもお世話になっております。
この度の卒業は驚いてしましたが、これからも前向きに上手くやっていけるのを心から願っています。
かなたそからは喜び、勇気、頑張る力を貰ったことが多々あります。おかげで今の私があります、そこに関しては本当に感謝の言葉がいっぱいです。
かなたんのことを知ったきっかけはあさここでした。
まさかあのクソダサオウムPPT天使がこれほどの成長を成し遂げたことはまだその頃の自分にはまだ知らなかった、けどその成長過程も見てたから嬉しいかったです。
まだたくさんの言葉が言い切れないので、ここら辺で終わりたいと思います。
これからの人生も長いので楽しく生きましょう💫～"
,2024,,United States,"Thank you, for being nice and supportive of others choices."
bronrg,2019,,Singapore,かなたさん、こんにちは! 6周年おめでとうございます、そうて卒業は悲しいです。かなたんは、つらい時にあたしを笑わせて助けてくれました。そのことをあたしは決して忘れません。ありがとうございます。これからも、どこに行ってもかなたんの熱心な姿勢で人々を助け続けてほしいと思います。
,2021,,Malaysia,Thank you Kanata-san. You're the coolest when singingg.
,,,Vietnam,"since im not a Heimin, i dont actually know much about kanata, but i still want to wish her the best for her future self, wish her bombarded with health and fortune"
xidorn,2020,https://x.com/x1dorn/status/1279746118788591617,Philippines,"I am glad, because I was able to see you give your all. You never gave up, and now I want to never give up, too. I have no regrets being a Heimin. Thank you, Kanatan. Take it easy now, you earned it. かなたんの全身全霊に頑張ってる姿を見られて嬉しい。かなたんが諦めなくて、そのおかげで僕も諦めたくなくなった。へい民になって後悔一切ない。ありがちょ、かなたん。ゆっくり休んでね。
最後に、おつかなた💫"
クロカミ,2020,,Indonesia,今までありがとうございました。元気でいてください。ファンとしてまだしてられないことあ多いんです、ソロライブもまだ現地で見れない、買ったペンライトもハッピもまだ新品。ですがかなたんの決めたことですのでそれを尊敬します。私も陰キャで口少ないので長い文章は書けないのでこれで失礼します、おつかなたでした。
Butter,2020,,Singapore,"Thank you for everything, we love you!

本当にありがとう、愛してる！"
Yasen_siyo,2019,https://x.com/twitwithteeth/status/1954883970761625745?s=20,"Korea, South",かなたそへ。かなたそをデビューから見てきました韓国ニキです。最初のレインボーフォントサムネやあご茶わんとかあって独特だなとも思いましたがいつのまにかヘイ民になっていました。ココの卒業の時にはすごく泣いたし、キセキ結びを聞くたびに今も涙目になります。それからずっと悔いのない推し活すると決めました。Fesも参加して、グッズのいっぱい買ってかなたそのソロライブも現地参加しました。歌とアイドルとVtuberとインターネット文化が好きなかなたそを十分感じました。韓国のhololive STAGE World Tour ‘25 Seoulももちろん参加予定です。それでも自分、悔いなく推せたでしょうか。
PianistandRosetaiMelfriendHaaton,2025,,Italy,"Kanata, I will miss you dearly. Your beautiful singing will always be remembered by us all. You were also a real angel, because you were very cute.
Goodbye, Kanata."
xtt,2020,,Malaysia,一緒に過ごした時間すべてに感謝します。私はもうずっとホロライブのファンで、長年一緒に過ごした楽しい時間も悲しい時間も、いつまでも忘れません。ずっと頑張ってくれてありがとう。
Izuru,2024,https://x.com/izuruu19/status/1840246913704357952?s=20,Malaysia,"悲しみなんかない世界 愛をあきらめたくない、どんな涙も かならず乾く、ボクらが変えてく未来、きずなは とぎれやしない

かなたん、今まで本当にありがとう。これから、ちゃんと幸せになれますように。
Kanatan, thank you for everything . I hope you find a true happiness from here on."
,2025,,Singapore,こんかなた！私はシンガポールからの海外ニキです、だから変な日本語ある。２０２５年３月私はかなたんのことを見つけました。最初かなたはただのホロメンだ、でも今はかなたんの色々なことを好き。例えば声が好き、配信が好き、コラボが好き、歌が好き。本当にいろいろなこと好きすぎる。かなたが行く先々で、かなたかなたをもっと幸せにしてくれますように。I LOVE KANATA!
白玉ふぉんでゅ,2020,,Japan / 日本,本当に好きにいつも真っ直ぐに正直でいつまでも天使（人）として尊敬してると同時に憧れています。そんなかなたんを応援してる内に自分も変わらなきなと思って行動することができるようになりました。このかなたんからもらった大事な経験と気持ちは絶対に忘れません。これからもこれまでも最高の推しです！本当にいつもありがとう！
weefyeet,2021,,United States,"最初から最後まで、すてきなかなたさんを応援できて、とても幸せでした。
だからこそ、卒業されると聞いて本当にさびしいです。

かなたさんと、みなさんと一緒に過ごした時間は、ずっとずっと忘れません。
どこへ行かれても、私たちの希望でいてください。
これからの道が、かなたさんにとって輝く未来になりますように。

心から応援しています。"
trashbin,2021,,Indonesia,"Thank you for the years Kanata has been active in holo. I loved Kanata's voice as it sounded unique to most I've heard. Kanata has gotten me through some challenges through songs and personality.
カナタがホロで活動してくれた年月、本当にありがとう。カナタの声は、今まで聴いた中で特に独特で大好きでした。カナタの歌が、幾つもの困難を乗り越える支えになってくれました。"
YuYuYu,2022,,Indonesia,"thank you Kanatan, you make people like me happy, always.
good luck in the future, i hope you always happy."
newbzrul3,2025,,United States,"Thank you for giving me a reason to push forward in life despite how hard it can be. Many people wish they could have the strength you do, and we'll work hard to make you proud."
,2023,,Indonesia,"watching your Dark souls series and sekiro and how you are immersed with the story was very wonderful, you are a very strong woman before hololive and in hololive, i wish you happiness and fortune always come to you"
たっつ222,2021,https://x.com/tattsu__222/status/1964684002423623874?s=46,Japan / 日本,"かなたんに出会えて本当に楽しい日々でした
一緒に笑ったり泣いたり幸せな日々を送れたと思います  病気と向き合ってやり抜いた貴女を心から尊敬し貴女を推せて良かったと思います
寂しさもありますが何より今まで頑張ってきた貴女がこれから健やかに元気に暮らせるよう心から祈ってます
本当にありがとう かなた"
ごはんたまごはん💫,2021,https://x.com/gth283/status/1996196299927146818?t=AEp36VTbcjBmhpLjIBh_6g&s=19,Japan / 日本,言いたい事はココに書き尽くせない程にあるから、すこしだけです。どんなときも、常にあなたが心にいました。あなたの頑張る姿に惚れたんです。今心に穴が空いてしまったような気持ちですが、あなたが決めたことなら、最大限悩んだ後の決断でありそれはきっと幸せなことであると信じています。ほんとにありがとう、大好き
Kitsu,2024,,United States,Kanata! Ganbatte! We will miss you!
MALICE-まりす-,2021,https://x.com/MALICE_yy/status/1677015556145438720/photo/1,Japan / 日本,かなたん！卒業しちゃうのは凄く寂しいけど、かなたんに貰った大切な時間は一生の宝物だよ！本当にありがとう！会えなくなってもずっと忘れないからね！一生愛してるよ！
tepu,2022,,Malaysia,"thank you for everything kanatan, we will love you forever"
,2020,,Hong Kong,ありがとう😭✨世界一のアイドル、 一生忘れてやらないぞ。 大好き❤️ ひんです
詠麟,2020,,Taiwan,カナタさん、5年間本当にお疲れ様でした。毎日生配信やアーカイブを見るのが本当に楽しかったです。これからも健康で幸せに過ごしてください。最高のアイドルです！ 勝手なお願いですが、カナタさんはもうネットでカナタさんの痕跡を探さないでほしいと願っているようですが、きっと我慢できないでしょう。たとえ可能性でもいいから、またカナタさんの近況を聞き、歌声を聞ける日が来ることを心から願っています。メンバーとして5年近く、本当に毎日が幸せでした！ ありがとうございます！
なっつん💫,2024,,Japan / 日本,"かなたん、6年間お疲れ様でした。
職場で病んで、死んでやろうかって思うほど辛い時にかなたんの曲、配信に救われました。今の僕があるのはかなたんのおかげです。
あなたは誰よりも誠実な人だから、きっと死ぬほど悩んだし泣いたことでしょう。僕たちや他のホロメンが悲しんだり傷つくことまできっと考えてくれたはずです。だから卒業してしまうのは寂しいけれど、かなたんの次が幸せな道であるように心の、心の底から願っています。
本当に今までありがとう。あなたに出会えたことは僕の一緒の宝物です。

いってらっしゃい。"
ST Satia,2023,https://x.com/Shalltear450/status/1996202533115871549?t=uZzFhNBkezsoF1jjCrlVBA&s=19,Vietnam,"Thank you Amane Kanata for the past 6 years. Although I didn't follow you at the beginning, it was a great journey coming along with you since 2023. You have been my light since then. You cured me from stress and family issue. I will never forget you 💙"
Boku,2020,,Brunei,"Thank you for everything, Kanatan. It’s hard to put into words how much you mean to me. Your presence has been a source of comfort, motivation, and happiness to me. It hurts to let go, but I’m proud of you.
Please continue shining in your own way💫 I love you always💙"
せりす,2022,,"Korea, South","かなたんには本当に感謝の気持ち
辛い時も嬉しい時も一緒にいてくれた
かなたんのお陰で幸せな4年間を過ごしました。
かなたんには幸せな未来だけ残って欲しい
かなたんがたくさん悩んで決めた事だから行かないとは言わないよ
かなたんは私の人生を照らしてくれた灯りであり、私の幸せでした
今まで、本当にありがとうございました。
これまでも、これからも、大好きです。
世界で一番のアイドル
愛を伝えます"
양파,2021,,"Korea, South",꼭 행복해야 해
バンビ/밤비,2022,https://x.com/ksjhome/status/1948970514032328918?s=20,"Korea, South","6年間、本当にお疲れさま、かなた…
辞めないでほしいって言いたい気持ちもあるけど… かなたがよく考えて決めたことだから…
ファンとしては、その道を応援しなきゃいけないよね…

それでも、これだけは伝えたい。
かなた、大好きだよ！あなたは僕にとって君は世界一番のアイドルだよ。

かなたを知れて、そしてへい民になれて本当に幸せだったよ
僕の推しでいてくれて本当にありがとう。

これから先、幸せなことだけで満たされますように。大好きだよ！"
こもよし,2019,,Taiwan,お疲れ様でした。ありがとうございました。o7
初見です💫,2020,,Japan / 日本,"かなたんへ
さっきメン限の期間を確認したら66ヶ月ってかいてあったよ。とても長い月日、推させてくれてありがとう。かなたんのおかげで辛い時も楽しい時間にすることができたよ。12/27を過ぎてからは直接応援ができないけど、ずっとずっと推していく応援しています。世界のどこかで応援してるので、無い胸張ってかなたんらしく生きてください！たくさんの楽しいをありがとう。"
하루,2019,,"Korea, South",愛するかなたんにとって、かなたん、あなたは私の小中高生活にいつも一緒にした私の精神的支柱であり希望だった。あなたに出会ったのは私の短い人生で一番大きな幸せだ。 一緒に放送で笑って泣いて本当にたくさんの時間を一緒に過ごしたのに卒業するという話を聞いた時私も知らないうちに涙が出たの. それでもずっと泣きたくても我慢して笑いながら送ってあげたい. もうすぐ12月27日私たちが初めて会った日であり別れの日だ. その間6年間すべてのヘーミンそして私のそばでいつも笑っていてくれてありがとう 君を忘れることができない. あなたは私の人生の大切で愛した最初の一番好きだあなたの未来を応援するよ!!!
라이더고냥이,2024,https://x.com/ridercat422/status/1974365709787673022?s=46,"Korea, South","Kanata, I was happy to have you. If it wasn't for you, I might not have been alive. Thank you for your hard work. Stay healthy and happy anytime, anywhere. All Haymin will be cheering for you. Thank you for your service!"
DARI,2021,,"Korea, South",4年間本当に好きでした 幸せになってほしいです
Rushian,2021,,Taiwan,"Kanata, you will live in my heart, forever."
Roger YS,2022,,Hong Kong,"Kanatan, I’m very proud of your solo live performance and so glad you complete it before finishing your idol journey. Sometimes I wish you to stay forever but more importantly we fans want you to stay healthy and be true to yourself. Thank you for everything and and don't forget us all!"
たていしいりや,2022,https://x.com/clarihan/status/1995071177413562611?s=46&t=EL-nm9VZxAJzIjUK_p62jg,Japan / 日本,"大好きなかなたんへ
辞めてしまうのは悲しいけどかなたんのこれからにたくさん幸せな事が起きるのを願います
カラオケでも何でもいいから歌うことだけは続けて欲しいです
最後に我儘ですがかなたんの活動をまだまだ見ていたかったです"
さるおん,2020,https://twitter.com/saru0n/status/1971515247300386833?s=46&t=vs2yhWZAC88j-Jlc5ZF4Og,Japan / 日本,"かなたんの声が好きです。歌が好きです。今まで生きてきた中で、ずっと長く追いかけ続けたアーティストはかなたんが初めてだったんです。もっと声を歌を、楽しそうに配信している姿を、夢を叶える姿を追いかけたかった。でも、かなたんの覚悟や矜持は配信の声色から痛いほど伝わったから、寂しいけれど、この先に続く貴女の人生が、未来が、多くの幸せに包まれるように祈っています。6年間、本当に本当にありがとう。
忘れない、忘れられないよ。だから、我儘だけど、たまにはホロメンとご飯とか、ちょっとお茶しよ！って行って欲しいよ。友達としての、仲間としての繋がりは持ったままでいてよ〜。"
문재욱,2021,,"Korea, South",出会えて本当に良かったです。ずっと大好きで、いつも応援していました。どこへ行っても、幸せに元気に過ごしてくださいね。いつか、もしヘイミンを思い出したら、どんな形でも構わないので、また姿を見せてください。
Muik Baek,2022,https://x.com/hfnm_holo/status/1955543752732557319/,"Korea, South","From I heard your song 特者生存, I fall in love to your personality and songs.  Including 特者生存, many other songs like 純粋心 also are in my taste. Thank you for your work although your unwell condition. I love you forever."
ＡＺ,2022,,Japan / 日本,"かなたんの歌が大好きです。
最高の歌を届けてくれてありがとう。
天界に帰っても世界の何処かで歌い続けてほしい！
寂しいけどアイドル美学を感じて格好良すぎてやっぱり最高の推しです。"
Eprise,2021,,Taiwan,かなたん、私の人生のつらい時期に励ましてくれてありがとう。私はこの年月の思い出を決して忘れません。
Vegito II,2020,,Malaysia,I watch your stream whenever I'm free and you did stream，I love your style but I won't after you graduate，please have a nice life afterwards，I know you play dragon ball games，if you need help，don't hesitate to come to planet vegeta to find help from saiyan，we saiyans will always love you
Ry0,2020,,Sri Lanka,かなたんへ、スリランカの小さな国からあなたに届きます🇱🇰。デビュー直後の配信であなたを知り、面白くて可愛い姿に心を奪われました。『アンラベル』や『火炎』の歌声、そしてソロライブには涙が出るほど感動しました。病気と向き合い諦めない姿に救われ、勇気をもらいました。どこへ行っても幸せでいてください。6年間、本当にお疲れ様でした。
マイオニーG5,2024,https://x.com/G5_maioni/status/1964686687734464861?s=20,Japan / 日本,6年間お疲れ様でした。かなたんに出会って世界がガラッと変わりました。いつの間にか心の一番大切なものになっていました。一生忘れることはありません。私がへい民を名乗って1年間という短い間でしたが、とても濃密で楽しい一年でした。受験生だった時も不安だった新生活もかなたんがいたから乗り越えられました。今までありがとう！これからもずっとずっとあなたは私の最推しです！！！
사휘,2021,,"Korea, South",韓国のへい民です。 かなたそのこれまでの活動をとても楽しく楽しんで4年目ですね。8月、1st Live Lock Onを現場で見てからもっとかなたそが好きになりました。 いつもかなたその健康を心配して結局卒業ということでへい民の時間は止まるようになりましたがこれからもかなたそがこれ以上痛くなく幸せにどこかで生きて行くと信じてかなたその新しい未来を応援します。 涙が止まらないけど、かなたそがこんな決定をするようになったのも相変わらず悲しいですが、それでもかなたそは今までいつもありがとうございました。 元気にまた会える日を楽しみにしています。
35Pなすこん部,2024,,Japan / 日本,6年間お疲れ様です。卒業してしまうのは悲しいですが、どうか幸せな未来を送ってください。いつまでも応援します。ネットからはいなくなっても、僕たちの心の中では永遠に生き続けます
derheim,2022,,"Korea, South",大変なことがあったとき、あなたを見て力を得ました。 いつも固く生きていく姿が美しいです。 健康を回復してください。
Catalan,2022,https://x.com/catalan4875/status/1995840743085408394/photo/1,"Korea, South","かなたん6年間本当にお疲れ様。
別世界ライブから見始めてもう3年、もっと早く出会えていたらよかったのにな。
日本語が下手で、Twitterとかであんまりコメントできなかったのがすごく心残りだよ。
もっと本気で日本語勉強しとけばよかったなって思う。ごめんね。
実は、人生で初めての海外旅行が、かなたのソロライブだったんだよ。
現地でかなたに会えて、本当に幸せだった。
あと、ソウルのワールドツアーに来てくれて本当に嬉しかった。
私が住んでる場所でかなたに会えるなんて本当に本当に嬉しかった。
今までありがとう。ずっと大好きだよ！"
タット💫,2020,,Japan / 日本,"かなたんと過ごした日々はとても楽しく、充実した時間を過ごせました。配信で会えなくなってしまうのは悲しいですが、これからも頑張ってください！陰ながら応援しています。
かなたん大好きだよ！！"
,2024,,India,"kanata-san, i wish you the best for your future!"
Kraller,2021,,Russia,May you live a happy life with no regrets. May your days be as happy as you made your fans happy. I will never forget the PPTenshi
,2024,,"Korea, South",사랑해요 다시 만나요
かずーやん,2020,,Japan / 日本,"初めてこんなに好きになった配信者でした。
どちらかというとVtuber文化に批判的でいた自分を根本から変えてくれた事に感謝してもしきれません。
かなたんと出会っての5年間は推しが元気に配信してるのが当たり前で天音かなたがそこに存在しているという事が嬉しい日々だったけど来月からその感覚が無くなるっていう喪失感が拭えません。
でも、これまでの思い出を糧にまたVtuber文化を楽しみたいと思います。
かなたんにもう会えないのは寂しいけどかなたんが教えてくれた世界を少しでも盛り上げられたらいいです。
今後のかなたの人生に幸あれ！
最推しに愛を捧ぐ"
Cyaro(シャロ),2025,,American Samoa,"かなたんへ

卒業はとても寂しいけれど、
たくさん悩んで、自分で選んだ道だから
その決断を心から尊重します。

それでもやっぱり悲しいし寂しい。
いないって分かっていても、
きっとこれからもつい探しちゃうと思う。
それくらい大切で、誇りの推しです。

だけど、かなたんが選んだ未来なら
僕は全力で背中を押します。
卒業しても、想いは変わりません。
これから先もずっとずっと
愛して、応援し続けます。

ここまで連れてきてくれて本当にありがとう。
たくさんの笑顔と勇気をくれてありがとう。
かなたんのこれからの人生が
もっともっと輝きますように、心から願っています。

ずっと大好きです。"
kaizeshu,2020,,Philippines,"Kanatan, thank you for everything. Your songs, streams, memories, will always be with us, even when you depart. I will miss you, a lot. Rest well, and take care. おつかなた！"
ぺぺち,2021,https://x.com/pepechino1220/status/1996232417514815936,Japan / 日本,"私がかなたんを知ったのが四年前でした。でもその時の私はこの子かわいいな程度でまだへい民と言えるほどのものではありませんでした。
でも3周年ライブで私はへい民にレベルアップして三年間学生へい民として過ごしています。
今までありがとう。これからもずっとずっとかなたんのことが大好きです。"
ルオレ,2020,,United States,今までありがとうございます。この長い間とても楽しかった！
Philip,2022,,Japan / 日本,"かなたんへ
今の自分があるのはかなたんのおかげと言っても過言では無いです。自分が今大学生になれてるのはかなたんのとある言葉に救われたからです。それはすごく前に色んなことへの素直な思いを雑談で伝えてた場面。頑張っても意味ないと思った。けど諦めたくはないよね？だからまだ頑張ろうって思えた。そんな1場面です。自分は大学受験でどんだけ勉強しても中々成果が出なくてもう投げ出したい、ほんとに心が辛い時はもう生きてる価値なんてないんじゃないか。そうまで思っていた時にこのかなたんの言葉を思い出し、まだ頑張ろうと思い今大学生に無事なれてます。なのであなたにはいつまでもずっとありがとうを伝え続けたいです。"
メジェドリス💫🏴‍☠️,2022,,Japan / 日本,"かなたんへ
本当に大好きです。本当に人生を変えてくれた恩人で最高の最推しです！
今までも、これからも変わることは無いしずっと応援していきます！
へい民になって良かった。かなたんと出会えてよかった。
ただ、もっと早く出会いたかった。お話できるイベントに勇気を持って参加出来ていれば、という気持ちもあります。
エルデンリングもかなり印象的で本当に楽しかった。
本当に忘れたくないし忘れてやりません！
本当にありがとう。これからも元気に幸せに過ごしてください！"
Heii Pilar,2023,,Indonesia,"Hello Kanatan! I am very grateful to found you and Hololive in my senior college year. Your singing, your stream, your hardwork entertain me, and I want to be strong, like you! Love you, everywwhere you be after this end. Thank you very much Kanatann"
Winson,2020,https://x.com/winsonhin/status/1956363324184223797/photo/1,Hong Kong,"かなたんを静かに応援し始めて、もう5年が経ちました。あなたの成長をずっと見守ってきた中で、1stソロライブに参加できたことは、私にとって最高の思い出です。一生忘れません。
あなたの幸せが、私の一番の望みです。
ただ、どうか体だけは大切にしてください。あなたが元気で生きていると知らせてくれるだけで、本当にそれだけでいいんです。
かなたんのことが、一番好きです。"
,2020,,United States,海外へい民です。かなたんのおかげで日本語を勉強し始めました。すぐに日本語に住んでいます。僕の人生が変えられました。全てをありがとうございます。
Beans,2019,,New Zealand,"Thanks for 6 years, Kanatan! The Strongest #1 Idol! Always and Forever!"
mochi,2023,,Japan / 日本,今まで配信でのコメントもあまりしてこなかったけど卒業発表で思ったよりもかなたんのことが好きなんだと今更ながら気づきました。卒業しても大好きです。
SeungMin,2025,,"Korea, South","こんかなた！💫　
今年の9月に初めてホロライブを知った韓国リスナーです。ホロライブを知って初めての卒業なのでこの雰囲気に付いて行くことができず、悲しんでいたところ最後にメッセージを送れると聞いてこの機会を通じてこの言葉を伝えようと思います。
長い時間を共にしたへい民の方々に比べれば、本当に短い瞬間でしたが、私の人生において2025年の中で最も美しいページとして残るでしょう。 2026年からはもう画面越しに会えなくなりますが、この6年間刻んできた声はいつも私たちのそばで共にすると思います。カナタソが卒業してもへい民は卒業しないから！ いつでも私たちを忘れないでね！、、、行かないで、、、😭"
Andrew,2020,,United States,（Google翻訳）この6年間、私たちのPPTになってくれて本当にありがとう。あなたが初めてライブ配信を観たホロライブの人だったの。あなたのユーモアとカイチョーとの素敵な友情にすっかり夢中になってしまいました。こんな終わり方になるなんて本当に辛いけど、幸せな人生を送れるよう祈っています。
Aro,2020,,Indonesia,かなたん大好き。ホロライブを見始めた頃に4期生がデビューして、本当に特別な思いがあります。力強い歌声と、決してあきらめない姿に何度も勇気をもらいました。忘れられない名場面ばかりです。どうか体に気をつけて、ゆっくり休んでください。今まで本当にありがとう。
Inemil,2025,,Poland,"No matter what happens, I still wish for your smile to be always bright in every moment."
Rex,2020,https://x.com/RexAstaLevi/status/1996250423641129169?s=20,Indonesia,"かなたん、たくさんの思い出と楽しい時間をありがとう
君の配信も歌もライブも、全部本当に楽しかった
君は諦めないこと、辛い時も続けることを教えてくれた。それは僕にとって本当に大きな意味がある
君がいなければ今の僕はいない
改めて、たくさんの思い出と君の頑張りを心からありがとう 
お疲れ様でした... おつかなた~！！！"
벨님,2019,,"Korea, South",あなたに救われた一人の韓国人ヘイミンです。 今まで本当にありがとうございました いつまでも忘れられません 本当に好きです
Felshene,2022,,Indonesia,"I love Kanata, thank you for the past years. You will live in my heart forever.
カナタ、大好き。これまでの年月、ありがとう。あなたは永遠に私の心の中で生き続けるわ。"
HookedOnRice,2020,,United States,"PPT! Congratulations! You did SO much in Hololive and I'm happy I got to see it! You inspire me every day and I promise I will chase my dreams like you! Thank you for singing, making me laugh, and spending time with us! You are amazing, don't forget that. I love you, Kanatan! 💙"
Veldspar,2020,,Russia,"I've been watching you since your debut, and it was an incredible and inspiring journey! Fly high, Kanatan! Thank you for 6 years of wonderful memories!"
艾薩爾エザル,2021,,Taiwan,"かなたん大好き！
かなたんの歌も大好き！
本当に綺麗な声です
これからもずっと大好き！"
Iduno,2019,https://x.com/Istilldunno1/status/1898048602741916002?t=xY9GAirWUMFYzCY_Nk-epQ&s=19,United Kingdom,"あなたのおかげで私は音楽はも好きに成りました
あなたのおかげで日本に行きました
あなたのおかげ半分で翻訳切り抜き者に成りました
あなたのおかげ半分でそんあメッセージのために日本語が十分わかります
本当に全部ありがとうございます
私は永遠にへい民です"
Sugapi,2019,https://x.com/FubuTaso_love/status/1969465939289677918?s=20　　　（たそぬいと一緒に行ったスウェーデン旅行）,Japan / 日本,デビューから6年。　病気やメンタルの問題で何回も休まれていたのをゆっくり待っていましたが、二度と会えなくなる日が来るとは思っていませんでした。　貴女の歌、マナーや配慮などの人間性、トークがとても好きでした。　日々の生きる糧と言っても過言ではありません。ありがとうございました。
アイド,2020,,Philippines,決して忘れないよ、かなた。本当に大好き！！！！
j.see,2021,,Singapore,かなたんが初めて見た数少ないVTuberの一人で、ホロライブにハマるきっかけになりました。とても寂しくなりますが、これからの仕事でぜひご活躍ください！
レスティア,2019,,Singapore,デビューから応援していました。楽しい６年間をくれてありがとう
Vuirn,2020,,Indonesia,"Thank you for everything you've done for us Kanata, thank you specifically for always lighten my day up when I'm at my lowest point with your streams, your laughs, your kindness, everything you've done within the past 6 years.. Please live a happy life wherever you end up.."
ペンギン,2020,,Philippines,海外の人です。PP天使の始まりから観ていましたが，その時は私の日本語がボロボロでした。かなたんの配信を楽しく観れるためにきちんと日本語を勉強しました。おかげさまで私は色んな経験が味わえて，人生を本当にいい方向に向けました。この何年間の配信や歌は私にとってかけがえのない大切な思い出です。出会ったキセキから，このお別れの日まで，すっごく楽しかったです！ありがとうございました！幸せになりますように。おつかなた～
メル,2024,,"Korea, South","いろいろ大変で体が壊れていく時に知り合い、心の中で本当にたくさんの力になってくれた私たちの天使かなたん！悲しい時も嬉しい時も一緒にしたようです。 あなたが歌った歌が好きです  笑い声が好きです。 雑答が良かったです。 1年間あなたの夢を追いかけた道を一緒に乗って走ったならこれからはあなたがくれたこの幸せな思い出を大事に持って生きて行きます これからもずっと私にとって世界で一番のアイドルは""天音かなた""あなたです。 卒業して元気に過ごして、日常生活でふと私たちのことを思い出したら、あなたのニュースを聞かせてください。私たちはいつもあなたの幸せを祈ります。 これからも永遠のヘイ民が。"
ryo,2024,,Japan / 日本,ソロライブ最高でした！かなたは、世界で一番のアイドルです！ずっとずっと推します。かなたじゃなきゃダメなんです
